node_id,lat,lon,category
node/1497793,43.7555309,-79.3346901,highway
node/1498116,43.7255298,-79.3305335,highway
node/1500224,43.7689419,-79.3343753,highway
node/1500294,43.7675254,-79.3343615,highway
node/1500324,43.7666169,-79.3536635,highway
node/1500355,43.7682983,-79.3273776,highway
node/1500367,43.7685461,-79.3265949,highway
node/1500382,43.7687015,-79.3140412,highway
node/1500416,43.7678813,-79.3259759,highway
node/3451579,43.8418054,-79.0646583,highway
node/3451596,43.8395172,-79.0695541,highway
node/3451686,43.8235482,-79.1040558,highway
node/3454742,43.8173318,-79.1132964,highway
node/3458665,43.6481414,-79.3605147,highway
node/3458699,43.6462243,-79.368164,highway
node/3458773,43.6378351,-79.3993498,highway
node/3458805,43.6331047,-79.4283169,highway
node/3458858,43.6341035,-79.4375266,highway
node/3458920,43.6263761,-79.4858841,highway
node/3458959,43.6217305,-79.5050659,highway
node/3458964,43.6203168,-79.5123354,highway
node/18317258,43.7664455,-79.3522707,highway
node/18318860,43.767786,-79.3363094,highway
node/18319127,43.7686716,-79.3311085,highway
node/20650409,43.7665063,-79.3458347,highway
node/20650422,43.7663729,-79.3416992,highway
node/20650453,43.7656473,-79.3397386,highway
node/20650536,43.7714029,-79.3391912,highway
node/20650541,43.7695059,-79.339568,highway
node/20698655,43.7832969,-79.3412654,highway
node/20920958,43.7719041,-79.3390139,highway
node/20920970,43.7666916,-79.3444496,highway
node/20964490,43.6821878,-79.3638748,highway
node/21306147,43.6980999,-79.3405621,highway
node/21306173,43.6999946,-79.3381811,highway
node/21421205,43.6273366,-79.6898655,highway
node/21421401,43.6383154,-79.6607855,highway
node/21421437,43.6660602,-79.5973163,highway
node/21421514,43.6328854,-79.559747,highway
node/21421516,43.6371078,-79.5606462,highway
node/21421534,43.6509899,-79.565995,highway
node/21421540,43.6386483,-79.5606859,highway
node/21421548,43.6178567,-79.5524247,highway
node/21421595,43.7237854,-79.3320698,highway
node/21421611,43.7223676,-79.3283958,highway
node/21426219,43.6276364,-79.5563614,highway
node/21426227,43.6472589,-79.5639128,highway
node/21426240,43.6677855,-79.5732962,highway
node/21426294,43.6733956,-79.5916519,highway
node/21426318,43.6507435,-79.6321359,highway
node/21426322,43.6461403,-79.6443325,highway
node/21426338,43.6444498,-79.6678016,highway
node/21426861,43.6446325,-79.6501259,highway
node/21426892,43.5902088,-79.6558983,highway
node/21426903,43.5579417,-79.6908625,highway
node/21426925,43.6403299,-79.6616395,highway
node/21428990,43.6143043,-79.5477123,highway
node/21429004,43.6149038,-79.5446882,highway
node/21429012,43.61583,-79.5373115,highway
node/21429021,43.6188136,-79.522799,highway
node/21429024,43.620036,-79.5169039,highway
node/21429028,43.6211196,-79.5109091,highway
node/21429045,43.6186159,-79.5209761,highway
node/21429050,43.6196879,-79.5155094,highway
node/21436553,43.6219748,-79.5058764,highway
node/21436557,43.6200649,-79.5155228,highway
node/21436588,43.6722482,-79.5806799,highway
node/21436607,43.6825764,-79.5950675,highway
node/21436614,43.6933386,-79.6047196,highway
node/21436620,43.7141357,-79.617493,highway
node/21436625,43.7451066,-79.629395,highway
node/21489772,43.7707438,-79.3020757,highway
node/21489804,43.7817513,-79.2512998,highway
node/21489845,43.7974806,-79.1904275,highway
node/21489854,43.7992972,-79.1763971,highway
node/21489874,43.8505946,-79.0334738,highway
node/21489888,43.8569049,-79.0057801,highway
node/21489900,43.8476086,-79.0471097,highway
node/21489948,43.7641548,-79.3822128,highway
node/21489963,43.7494865,-79.4147222,highway
node/21489979,43.7336332,-79.4379865,highway
node/21490009,43.7198732,-79.4936173,highway
node/21490016,43.717781,-79.5060179,highway
node/21490028,43.7143365,-79.5313807,highway
node/21490047,43.7013406,-79.5608199,highway
node/21490052,43.6948277,-79.5670057,highway
node/21490063,43.6759858,-79.5783876,highway
node/21490098,43.6563975,-79.6196209,highway
node/21490120,43.6450148,-79.6459689,highway
node/21542878,43.7065395,-79.5554067,highway
node/21542897,43.7211061,-79.4862475,highway
node/21542900,43.7200825,-79.4940963,highway
node/21542912,43.7174857,-79.5055603,highway
node/21542916,43.7174696,-79.5121465,highway
node/21542925,43.7120363,-79.5439775,highway
node/21542928,43.7108465,-79.5480732,highway
node/21542939,43.7241844,-79.4760296,highway
node/21542942,43.7265391,-79.4632492,highway
node/21542963,43.7329342,-79.4406579,highway
node/21542970,43.740339,-79.4258893,highway
node/21543005,43.7657825,-79.3756139,highway
node/21543012,43.7668744,-79.3551817,highway
node/21543026,43.7771616,-79.2735374,highway
node/21543044,43.7712081,-79.3019713,highway
node/21543046,43.769665,-79.305947,highway
node/21543052,43.7954939,-79.201298,highway
node/21543058,43.7941702,-79.21444,highway
node/21543088,43.800338,-79.1693876,highway
node/21554686,43.8415449,-79.5474463,highway
node/21554695,43.8533639,-79.5502524,highway
node/21554698,43.8597609,-79.551533,highway
node/23940543,43.6339546,-79.4712854,highway
node/25644773,43.8128671,-79.5447068,highway
node/25644794,43.7253393,-79.5239512,highway
node/25644819,43.8163494,-79.5449515,highway
node/25777951,43.7908796,-79.3424643,highway
node/25777955,43.8076942,-79.3461593,highway
node/26240111,43.6850641,-79.5988763,highway
node/26658849,43.609832,-79.554197,highway
node/26658858,43.6039485,-79.5606492,highway
node/29657482,43.7127664,-79.4427137,highway
node/29657517,43.7188825,-79.4455067,highway
node/29657588,43.7248629,-79.4473829,highway
node/29657608,43.7309661,-79.4510393,highway
node/29657615,43.7349535,-79.4504897,highway
node/29657618,43.7326571,-79.450375,highway
node/29657644,43.7269837,-79.4478123,highway
node/29657664,43.7270327,-79.4472158,highway
node/29657678,43.7291009,-79.44635,highway
node/29657681,43.7283072,-79.4550219,highway
node/29657684,43.7289298,-79.4515714,highway
node/29657698,43.7334255,-79.4499304,highway
node/29657706,43.7276653,-79.4490768,highway
node/29657709,43.7344056,-79.4371614,highway
node/29657719,43.7309426,-79.4462699,highway
node/29657776,43.7310281,-79.4467821,highway
node/29657782,43.7316452,-79.4443061,highway
node/29658136,43.7300347,-79.4479165,highway
node/29658193,43.737056,-79.450782,highway
node/29658197,43.7411924,-79.4528589,highway
node/29658671,43.7175743,-79.5162277,highway
node/29658784,43.7121733,-79.5106287,highway
node/29658862,43.7157058,-79.5176013,highway
node/29658877,43.7126232,-79.5117974,highway
node/29659096,43.7101173,-79.5014991,highway
node/29659138,43.7690877,-79.5339032,highway
node/29659171,43.7810118,-79.5440639,highway
node/29659182,43.779968,-79.5516375,highway
node/29659214,43.7871252,-79.5195486,highway
node/29659217,43.7856945,-79.5300743,highway
node/29659230,43.7945475,-79.5403192,highway
node/29659256,43.7834501,-79.5350627,highway
node/29659299,43.7885009,-79.5139639,highway
node/29659337,43.8012927,-79.5412672,highway
node/29659361,43.7961799,-79.5410591,highway
node/29659389,43.7841319,-79.5374016,highway
node/29659391,43.7879148,-79.5375062,highway
node/29659450,43.7784751,-79.5578893,highway
node/29659492,43.8258674,-79.4609151,highway
node/29659503,43.8385532,-79.4128807,highway
node/29659509,43.8365205,-79.3897679,highway
node/29659511,43.8366264,-79.3849533,highway
node/29659528,43.8606645,-79.2635361,highway
node/29659601,43.8520767,-79.3004933,highway
node/29659606,43.842425,-79.3473301,highway
node/29659614,43.8375521,-79.3998122,highway
node/29659627,43.8293914,-79.4463894,highway
node/29659711,43.8440108,-79.3711011,highway
node/29659736,43.83963,-79.3634082,highway
node/29659801,43.8412344,-79.355482,highway
node/29659889,43.8411836,-79.3619041,highway
node/29659949,43.837553,-79.3745063,highway
node/29660012,43.8529177,-79.3726355,highway
node/29660093,43.8337267,-79.3651485,highway
node/29660391,43.8697191,-79.3767543,highway
node/32348038,43.7946932,-79.2109585,highway
node/32353778,43.8028599,-79.1377908,highway
node/32355221,43.8010218,-79.1407793,highway
node/32370814,43.7848091,-79.1651081,highway
node/32378001,43.7926644,-79.1522806,highway
node/32409985,43.8225561,-79.1067805,highway
node/32409991,43.8111542,-79.1237452,highway
node/32410781,43.8342914,-79.079865,highway
node/32411523,43.7968401,-79.1592394,highway
node/32422360,43.7914589,-79.2204147,highway
node/32422661,43.7952502,-79.2030957,highway
node/32423231,43.797604,-79.1915654,highway
node/32424693,43.7995811,-79.1722736,highway
node/32424747,43.7980034,-79.1607794,highway
node/32474271,43.7782673,-79.2669907,highway
node/32474298,43.7778358,-79.2698028,highway
node/32474339,43.7797097,-79.2607517,highway
node/32474480,43.7825318,-79.2495458,highway
node/32475202,43.7766989,-79.2789175,highway
node/32475485,43.7729774,-79.2918,highway
node/32567390,43.7004095,-79.5700068,highway
node/32974814,43.7306823,-79.6701964,highway
node/32974827,43.7040116,-79.6810753,highway
node/33540581,43.8034093,-79.136293,highway
node/33540609,43.7999894,-79.1404481,highway
node/36170159,43.7056854,-79.5582636,highway
node/36170540,43.6983226,-79.5793446,highway
node/36171892,43.6973891,-79.6035518,highway
node/36171979,43.69678,-79.5981937,highway
node/36191285,43.6945783,-79.6109244,highway
node/36191301,43.6932225,-79.6108118,highway
node/36191322,43.6899356,-79.6123458,highway
node/36191332,43.6861135,-79.6138268,highway
node/36191337,43.7029724,-79.6115969,highway
node/36191389,43.6918253,-79.6123606,highway
node/36191398,43.700519,-79.6106346,highway
node/36191400,43.6990766,-79.6099298,highway
node/36191487,43.6930453,-79.6117083,highway
node/36191543,43.6836338,-79.6149074,highway
node/36191950,43.6856059,-79.6099174,highway
node/36191979,43.6868306,-79.6151617,highway
node/36192046,43.6848874,-79.6065619,highway
node/36192281,43.6344349,-79.6718878,highway
node/36192283,43.6361597,-79.6667486,highway
node/36192361,43.6336291,-79.6525165,highway
node/36531732,43.7506768,-79.4120702,highway
node/36531895,43.7521888,-79.4093586,highway
node/36532011,43.7554634,-79.4071099,highway
node/36532056,43.7578306,-79.4020481,highway
node/36532943,43.7586985,-79.6151139,highway
node/36533097,43.7518653,-79.6384784,highway
node/36533143,43.7479625,-79.6434925,highway
node/36533692,43.7583974,-79.632535,highway
node/36533755,43.7572736,-79.6232319,highway
node/36533990,43.7541715,-79.6329104,highway
node/37376712,43.7874508,-79.2301741,highway
node/38067020,43.7838921,-79.24035,highway
node/39600150,43.8484575,-79.3146819,highway
node/60408512,43.6734669,-79.572889,highway
node/60408638,43.6825138,-79.5749789,highway
node/60408692,43.6558824,-79.5679102,highway
node/60408700,43.6675065,-79.5728373,highway
node/60408702,43.6698343,-79.5732649,highway
node/60408743,43.6649582,-79.5728824,highway
node/60408762,43.6725549,-79.5734396,highway
node/60408786,43.6738511,-79.5712631,highway
node/60948157,43.6394815,-79.3874545,highway
node/60948192,43.6347321,-79.4707586,highway
node/63555161,43.7472146,-79.4161739,highway
node/63555446,43.744646,-79.4202624,highway
node/63726669,43.7616763,-79.3927643,highway
node/63726835,43.7649555,-79.3804463,highway
node/76477995,43.6189889,-79.6323496,highway
node/76478001,43.6230719,-79.6391013,highway
node/76478060,43.6254975,-79.6424082,highway
node/76478070,43.6207307,-79.6384915,highway
node/76478119,43.6231064,-79.6380117,highway
node/76478134,43.6098217,-79.6345705,highway
node/76478138,43.6046124,-79.6405435,highway
node/76478142,43.5967657,-79.6484342,highway
node/76478149,43.5798692,-79.6664979,highway
node/76478418,43.5088387,-79.6877077,highway
node/76484675,43.5832925,-79.6622958,highway
node/88576242,43.8316847,-79.4357774,highway
node/95619256,43.7534126,-79.6314725,highway
node/95634273,43.6498197,-79.5646668,highway
node/95634419,43.6185834,-79.5531761,highway
node/95634459,43.6145552,-79.5492149,highway
node/95634500,43.6320364,-79.5574937,highway
node/95634608,43.611014,-79.5486041,highway
node/139218119,43.8643443,-79.3749221,highway
node/139221332,43.8781917,-79.3783141,highway
node/139223909,43.8895584,-79.3815677,highway
node/139232345,43.8956274,-79.3826332,highway
node/147147467,43.6747933,-79.6966347,highway
node/147147546,43.6626448,-79.6914569,highway
node/152562847,43.7498021,-79.5293583,highway
node/152571818,43.7549742,-79.5330128,highway
node/202263930,43.6249827,-79.5549382,highway
node/202278078,43.6487213,-79.5653226,highway
node/208533377,43.6395218,-79.387793,highway
node/208539709,43.6454458,-79.3727687,highway
node/208636321,43.7273171,-79.456407,highway
node/247951235,43.7117488,-79.5414247,highway
node/247951300,43.711694,-79.5433853,highway
node/247951327,43.7106061,-79.55014,highway
node/247951386,43.7111231,-79.5539404,highway
node/249710167,43.6515324,-79.5653372,highway
node/249722104,43.772712,-79.2954732,highway
node/249723726,43.7794109,-79.264425,highway
node/249725516,43.7901618,-79.2235186,highway
node/252358566,43.7603883,-79.6082225,highway
node/253345453,43.693337,-79.5690394,highway
node/253346192,43.6886296,-79.5710393,highway
node/253354925,43.6968492,-79.5887643,highway
node/253355307,43.6968584,-79.5921788,highway
node/253356281,43.6916679,-79.611502,highway
node/253357216,43.6857401,-79.6003493,highway
node/253359868,43.7209844,-79.6749886,highway
node/257893676,43.7838834,-79.2426523,highway
node/257902742,43.7385132,-79.6572577,highway
node/259741688,43.7905497,-79.5044021,highway
node/259750092,43.7789068,-79.3411888,highway
node/259750118,43.7764597,-79.3376979,highway
node/261681529,43.7238717,-79.4470136,highway
node/261690714,43.7267097,-79.4592913,highway
node/266593509,43.8127585,-79.1199303,highway
node/267079953,43.7148503,-79.5307636,highway
node/280212163,43.5024855,-79.6785696,highway
node/280217900,43.5517106,-79.6150284,highway
node/280218009,43.5509523,-79.6181446,highway
node/291600206,43.6782089,-79.6944862,highway
node/298543759,43.7178587,-79.6181982,highway
node/298543813,43.7229742,-79.622942,highway
node/298553218,43.7391976,-79.6285591,highway
node/298553350,43.7296963,-79.6260474,highway
node/301331368,43.640523,-79.5616419,highway
node/301331557,43.6399644,-79.5605353,highway
node/310322630,43.6575981,-79.6847567,highway
node/310322757,43.6676388,-79.6988598,highway
node/310322784,43.6627319,-79.6939153,highway
node/313081854,43.5287654,-79.643115,highway
node/313082415,43.5207245,-79.6515533,highway
node/315023679,43.8436291,-79.3373563,highway
node/315023792,43.8468876,-79.3230009,highway
node/317606110,43.5151617,-79.6993147,highway
node/318268330,43.6557228,-79.6196056,highway
node/318268599,43.662506,-79.6081362,highway
node/319036030,43.8653197,-79.2527758,highway
node/319111582,43.8687723,-79.2400129,highway
node/319111720,43.872086,-79.2266167,highway
node/319112962,43.8576265,-79.2751607,highway
node/319113003,43.8547787,-79.2874313,highway
node/319324472,43.8945398,-79.1826807,highway
node/319968069,43.5060912,-79.6675189,highway
node/319968521,43.5133783,-79.6600149,highway
node/320103688,43.5811072,-79.5856401,highway
node/320103709,43.586011,-79.5805825,highway
node/320104051,43.5649251,-79.6032352,highway
node/343008384,43.7151205,-79.5278601,highway
node/345861611,43.6931015,-79.6106263,highway
node/345944844,43.6854069,-79.6074381,highway
node/345949247,43.6858272,-79.6039134,highway
node/375313672,43.5715152,-79.5965313,highway
node/379765447,43.8331793,-79.0836211,highway
node/380612644,43.6426375,-79.5616508,highway
node/383283020,43.8376173,-79.4208171,highway
node/386132318,43.6507641,-79.5662283,highway
node/391883180,43.7716325,-79.5758099,highway
node/391895371,43.7769469,-79.5636375,highway
node/392151573,43.833177,-79.546932,highway
node/411401042,43.6972221,-79.6076898,highway
node/420888042,43.6303493,-79.647215,highway
node/430845147,43.7594594,-79.53204,highway
node/492013361,43.6825561,-79.6925985,highway
node/492013393,43.6925547,-79.6885052,highway
node/520873732,43.6008506,-79.5644642,highway
node/529353976,43.7061881,-79.5560452,highway
node/583411836,43.853129,-79.0216345,highway
node/696644460,43.6170351,-79.529863,highway
node/934209528,43.8761158,-79.2076018,highway
node/934209546,43.8733044,-79.2191661,highway
node/1339099026,43.7232764,-79.3321453,highway
node/1368520331,43.7735156,-79.3395646,highway
node/1381245510,43.7230565,-79.3283633,highway
node/1381298321,43.7288147,-79.4490998,highway
node/1381299231,43.7359125,-79.4345649,highway
node/1381324287,43.714794,-79.5283086,highway
node/1385397925,43.6224869,-79.6341663,highway
node/1385397985,43.6341979,-79.6513871,highway
node/1433175168,43.5504698,-79.6164916,highway
node/1463159828,43.6333134,-79.6769502,highway
node/1463159831,43.6349419,-79.6729306,highway
node/1541575300,43.6673261,-79.5937519,highway
node/1546658908,43.6279923,-79.5548059,highway
node/1553144380,43.6421672,-79.3797671,highway
node/1564504387,43.7367686,-79.3319634,highway
node/1566762724,43.8293668,-79.3642642,highway
node/1576439742,43.6358414,-79.669415,highway
node/1590264535,43.7584741,-79.3338138,highway
node/1590264561,43.7643346,-79.3367429,highway
node/1590280324,43.7626328,-79.3366445,highway
node/1590306772,43.8482159,-79.3714357,highway
node/1590306846,43.8402703,-79.3684616,highway
node/1591980078,43.7813256,-79.3407965,highway
node/1591980139,43.8158958,-79.358077,highway
node/1592086855,43.7757536,-79.3394044,highway
node/1595684837,43.7372537,-79.3322348,highway
node/1615037687,43.7082113,-79.614465,highway
node/1630272797,43.7198403,-79.5214875,highway
node/1640077452,43.8797048,-79.5564823,highway
node/1754065107,43.7656858,-79.3704472,highway
node/1754184665,43.8865857,-79.1892682,highway
node/1889323368,43.6865215,-79.6121741,highway
node/1945506328,43.7951283,-79.4902572,highway
node/1975505551,43.8107802,-79.4796711,highway
node/1975505622,43.8223526,-79.4712146,highway
node/2025468656,43.7579808,-79.3357683,highway
node/2026568138,43.7413302,-79.3322728,highway
node/2034931953,43.7406403,-79.3320843,highway
node/2038506816,43.7206179,-79.3291998,highway
node/2038506920,43.7292606,-79.3307278,highway
node/2043419022,43.7006454,-79.3366031,highway
node/2043419168,43.7017936,-79.3341355,highway
node/2057182576,43.6791396,-79.3674251,highway
node/2057182695,43.6784024,-79.3685698,highway
node/2131495587,43.6762208,-79.5925032,highway
node/2131728888,43.695695,-79.6093154,highway
node/2164826721,43.6661701,-79.6949126,highway
node/2244050240,43.8899534,-79.5587457,highway
node/2258710645,43.6535571,-79.3491808,highway
node/2261930321,43.6602964,-79.354674,highway
node/2295972054,43.6831643,-79.3619059,highway
node/2383882755,43.6697074,-79.5880629,highway
node/2383892888,43.6741113,-79.5685569,highway
node/2714580471,43.6273662,-79.6909409,highway
node/2771660436,43.6356481,-79.4691291,highway
node/3086358024,43.7992995,-79.3447591,highway
node/3171159581,43.6280979,-79.6857933,highway
node/3843529130,43.7656861,-79.6331365,highway
node/4467627671,43.6844717,-79.6056142,highway
node/4569824000,43.86542,-79.5531241,highway
node/4698329903,43.8213157,-79.6563559,highway
node/4742998892,43.5038218,-79.6704517,highway
node/5764710138,43.6491579,-79.6732199,highway
node/5960572545,43.6841146,-79.3616299,highway
node/6655405021,43.6967463,-79.6084706,highway
node/7467260189,43.82276,-79.545661,highway
node/7512508884,43.8019992,-79.6407402,highway
node/7512534365,43.8111495,-79.6508945,highway
node/7512548592,43.7957472,-79.6390386,highway
node/7512672595,43.7848557,-79.6365406,highway
node/7512672600,43.7751662,-79.6351139,highway
